pdf_marker_id,pdf_label,display_label,longitude,latitude,placement,source_url,review_note
pdf:location/339,1 minuto,Unidentified place,-82.7243583,9.6421477,estimated_from_nearby_places,,Generic or truncated PDF label; identity unresolved
pdf:location/341,Lanna Ben,Lanna Ben,-82.7237046,9.642958,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/343,Calle,Unidentified place,-82.7305994,9.6447765,estimated_from_nearby_places,,Generic or truncated PDF label; identity unresolved
pdf:location/345,Playa 506,Playa 506,-82.7363438,9.6499184,osm_named_place,https://www.openstreetmap.org/node/4401290093,OSM mapped point or feature center; not a field survey
pdf:location/347,Tasty Waves,Tasty Waves Cantina,-82.7406628,9.6534909,osm_named_place,https://www.openstreetmap.org/node/2791783328,OSM mapped point or feature center; not a field survey
pdf:location/349,Volleyball,Volleyball,-82.7383122,9.6524374,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/351,Beach Break,Beach Break,-82.7384829,9.6514391,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/353,Sol del Caribe,Sol del Caribe,-82.7372912,9.6505666,osm_named_place,https://www.openstreetmap.org/way/395458630,OSM mapped point or feature center; not a field survey
pdf:location/355,Rocking J’s,Rocking J's,-82.7460948,9.6580667,osm_named_place,https://www.openstreetmap.org/way/395458625,OSM mapped point or feature center; not a field survey
pdf:location/357,Salsa Brava,Salsa Brava,-82.750791,9.6590205,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/359,Isla Cocles,Isla Cocles,-82.7383733,9.6560334,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/361,Agapi Hostel,Agapi Hostel,-82.743317,9.656809,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/363,Super Cocles,Súper Cocles,-82.7342104,9.6448173,osm_named_place,https://www.openstreetmap.org/node/9438497898,OSM mapped point or feature center; not a field survey
pdf:location/365,Rio Cocles,Rio Cocles,-82.734402,9.6471827,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/367,Le Cameleon Hotel,Le Cameleon Boutique Hotel,-82.7284542,9.6441813,osm_named_place,https://www.openstreetmap.org/node/3982525284,OSM mapped point or feature center; not a field survey
pdf:location/372,El Refugio,El Refugio Grill,-82.6847392,9.6344184,osm_named_place,https://www.openstreetmap.org/node/3882257988,OSM mapped point or feature center; not a field survey
pdf:location/374,Faith Glamping,Faith Glamping,-82.6719969,9.6315489,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/376,Almonds & Corals,Hotel Almendros & Corales,-82.6728697,9.6314715,osm_named_place,https://www.openstreetmap.org/node/3982523619,OSM mapped point or feature center; not a field survey
pdf:location/378,Exotico Beach,Exōtico Beach Hotel,-82.6672431,9.6289696,osm_named_place,https://www.openstreetmap.org/node/13918490001,OSM mapped point or feature center; not a field survey
pdf:location/380,Congo Bongo,Congo Bongo,-82.6639564,9.6307495,osm_named_place,https://www.openstreetmap.org/node/9380579407,OSM mapped point or feature center; not a field survey
pdf:location/382,El Barco,El Barco,-82.6641824,9.632297,estimated_from_nearby_places,,Estimated from PDF page and nearby fixed place controls
pdf:location/384,Cool & Calm,Cool & Calm Cafe & Ristorante,-82.6613025,9.6302141,osm_named_place,https://www.openstreetmap.org/node/7622611557,OSM mapped point or feature center; not a field survey
pdf:location/386,Colores Seafront,Colores Hotel real location,-82.6595157,9.631849,osm_named_place,https://www.openstreetmap.org/node/7270810885,OSM mapped point or feature center; not a field survey
pdf:location/388,Maxi’s,Cabinas Maxi’s,-82.6577014,9.6326302,osm_named_place,https://www.openstreetmap.org/node/9241658417,OSM mapped point or feature center; not a field survey
